"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.98552343144919e-56,2.00433298823085,0.818,0.473,2.61031568021513e-51,"8","HSPA5"
1.22989154201502e-55,1.56688443890774,0.492,0.124,3.21505947998146e-51,"8","SEC61A1"
5.32476211544904e-55,4.91092706865234,0.616,0.273,1.39194606459953e-50,"8","IGLC3"
7.00911802749525e-55,1.81800414502542,0.401,0.087,1.83225354356753e-50,"8","NOMO1"
1.23759170517159e-54,1.68504421614327,0.347,0.067,3.23518847648906e-50,"8","ENTPD1"
1.69487074301425e-54,2.25438248003186,0.388,0.086,4.43056160931354e-50,"8","HIST1H4C"
1.77091908173248e-54,4.03518690469032,0.318,0.062,4.62935957155689e-50,"8","IGHG3"
1.22251148460047e-53,1.99399519052752,0.587,0.198,3.19576727189409e-49,"8","RRBP1"
2.70793315108452e-53,1.48091204645144,0.674,0.223,7.07880805025005e-49,"8","ISG20"
3.04771989408194e-51,1.48207359732567,0.421,0.098,7.9670445751196e-47,"8","EDEM1"
1.05530298997524e-50,1.49147149127788,0.393,0.088,2.75866754609427e-46,"8","SEC61B"
2.1633266851664e-50,1.26350188144353,0.566,0.161,5.65515228769349e-46,"8","SLAMF7"
1.27244783530881e-49,1.11099596553855,0.335,0.066,3.32630588628075e-45,"8","UBE2G1"
2.0862580339317e-49,1.82994983736096,0.306,0.058,5.45368712650086e-45,"8","LRRC59"
2.79789468989703e-49,1.44837861607314,0.351,0.073,7.31397650885983e-45,"8","MLEC"
4.13684849527637e-48,1.6331323785472,0.426,0.108,1.0814135651502e-43,"8","SEL1L"
5.03799596953297e-48,1.55434272565164,0.318,0.063,1.31698252639561e-43,"8","GNL3"
9.15325411275385e-48,1.64604086321862,0.285,0.052,2.39275215761498e-43,"8","ADAM19"
2.76443630909596e-47,1.61097581271821,0.355,0.079,7.22651295560775e-43,"8","HSPD1"
4.92992882630783e-47,1.38149804181709,0.331,0.068,1.28873269448513e-42,"8","SEC13"
6.83652253459184e-47,1.41938753473664,0.455,0.12,1.78713535576765e-42,"8","SPCS1"
1.87524393118316e-46,1.38426281989826,0.421,0.105,4.90207516050589e-42,"8","PABPC4"
6.19162867335676e-46,1.18039237180011,0.483,0.129,1.61855365150219e-41,"8","PRDM1"
8.8646012931218e-46,1.49571197869027,0.719,0.306,2.31729542403497e-41,"8","CALR"
1.0743337763878e-45,1.47274311564716,0.579,0.195,2.80841592485534e-41,"8","SPCS3"
2.14926698047213e-45,1.77082225250652,0.285,0.054,5.61839881365218e-41,"8","SRP54"
3.38636464560505e-45,1.32298720899394,0.43,0.112,8.85229582007617e-41,"8","SND1"
7.00575161421338e-45,1.44851562463764,0.591,0.202,1.83137352947152e-40,"8","RPN2"
9.00674581497498e-45,1.38937390343977,0.298,0.059,2.35445342349261e-40,"8","CALU"
1.89328080641917e-44,1.61165937607626,0.252,0.044,4.94922535606036e-40,"8","HMGA1"
3.64329655170661e-44,1.45274884080231,0.492,0.146,9.52394151581624e-40,"8","RPN1"
6.09293243264965e-44,1.43010525448298,0.331,0.072,1.59275346721895e-39,"8","VIMP"
9.20398879838891e-44,1.42666648907853,0.269,0.049,2.40601471178685e-39,"8","C12orf75"
1.06926030095051e-43,1.41789254616076,0.298,0.06,2.79515335271473e-39,"8","EIF4A3"
1.9131535340888e-43,1.60491886668311,0.434,0.12,5.00117465346153e-39,"8","HIST1H1C"
1.90789008682621e-42,2.44837481456309,0.339,0.083,4.9874154759724e-38,"8","TUBB"
3.68861050418415e-42,1.30141404652456,0.347,0.081,9.64239671898779e-38,"8","TMEM258"
5.08988234028284e-42,1.22341944403555,0.343,0.079,1.33054614257334e-37,"8","RABAC1"
5.21528636808848e-42,1.65677042267728,0.343,0.081,1.36332800948201e-37,"8","PPA1"
6.11030239110565e-42,0.941854212237611,0.322,0.07,1.59729414805893e-37,"8","GARS"
